model,level,attribution,n_explained,comprehensiveness,sufficiency,trace_minus_this,diff_lo,diff_hi
pla_static,facts,trace,21744,0.0116,0.0054,,,
pla_static,facts,reversed_control,21744,0.0082,0.0093,0.0035,0.0033,0.0036
pla_static,facts,random_control,21744,0.0099,0.0079,0.0018,0.0017,0.0018
pla_static,rules,trace,21744,0.0092,0.0074,,,
pla_static,rules,reversed_control,21744,0.0074,0.0093,0.0018,0.0017,0.0018
pla_static,rules,random_control,21744,0.0082,0.0084,0.0010,0.0009,0.0010
pla_static,rules_logit,trace,21744,8.9374,0.3655,,,
pla_static,rules_logit,reversed_control,21744,8.8236,0.5666,0.1139,0.1114,0.1163
pla_static,rules_logit,random_control,21744,8.8831,0.4630,0.0543,0.0526,0.0562
pla_learned,facts,trace,21744,-0.0006,-0.0005,,,
pla_learned,facts,reversed_control,21744,-0.0010,-0.0000,0.0004,0.0004,0.0004
pla_learned,facts,random_control,21744,-0.0008,-0.0003,0.0002,0.0002,0.0002
pla_learned,rules,trace,21744,-0.0006,-0.0006,,,
pla_learned,rules,reversed_control,21744,-0.0011,-0.0000,0.0005,0.0005,0.0005
pla_learned,rules,random_control,21744,-0.0008,-0.0003,0.0002,0.0002,0.0002
pla_learned,rules_logit,trace,21744,-0.1202,-0.1263,,,
pla_learned,rules_logit,reversed_control,21744,-0.2280,-0.0185,0.1078,0.1057,0.1102
pla_learned,rules_logit,random_control,21744,-0.1701,-0.0763,0.0500,0.0486,0.0514
