model,level,attribution,n_explained,comprehensiveness,sufficiency,trace_minus_this,diff_lo,diff_hi
pla_static,facts,trace,11642,0.0094,0.0049,,,
pla_static,facts,reversed_control,11642,0.0068,0.0073,0.0026,0.0025,0.0027
pla_static,facts,random_control,11642,0.0081,0.0064,0.0013,0.0012,0.0014
pla_static,rules,trace,11642,0.0079,0.0059,,,
pla_static,rules,reversed_control,11642,0.0066,0.0073,0.0013,0.0013,0.0014
pla_static,rules,random_control,11642,0.0072,0.0066,0.0007,0.0007,0.0007
pla_static,rules_logit,trace,11642,9.3933,0.3439,,,
pla_static,rules_logit,reversed_control,11642,9.2984,0.5103,0.0949,0.0918,0.0977
pla_static,rules_logit,random_control,11642,9.3448,0.4269,0.0485,0.0463,0.0505
pla_learned,facts,trace,11642,-0.0010,-0.0007,,,
pla_learned,facts,reversed_control,11642,-0.0014,-0.0003,0.0004,0.0004,0.0004
pla_learned,facts,random_control,11642,-0.0011,-0.0005,0.0002,0.0002,0.0002
pla_learned,rules,trace,11642,-0.0010,-0.0008,,,
pla_learned,rules,reversed_control,11642,-0.0014,-0.0003,0.0004,0.0004,0.0004
pla_learned,rules,random_control,11642,-0.0012,-0.0005,0.0002,0.0002,0.0002
pla_learned,rules_logit,trace,11642,-0.2130,-0.1901,,,
pla_learned,rules_logit,reversed_control,11642,-0.3155,-0.0876,0.1025,0.0995,0.1052
pla_learned,rules_logit,random_control,11642,-0.2643,-0.1387,0.0513,0.0492,0.0535
